id;def;matk;atk;sta;c_res;price;shoes;pants;gloves;armor;helm;
0;7367;0;2398;0;83;153,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
1;7445;0;2383;0;84;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
2;7419;0;2383;0;85;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
3;7420;0;2383;0;84;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
4;7494;0;2380;0;85;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
5;7495;0;2380;0;84;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
6;7469;0;2380;0;85;139,50; [+0 Noblesse Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Heremon Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
7;7421;0;2377;0;83;139,50; [+0 Heremon Boots 2*, Tutelary Sentinel]; [+0 Heremon Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
8;7422;0;2377;0;82;139,50; [+0 Heremon Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Heremon Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Noblesse Helmet 2*, Tutelary Sentinel];
9;7396;0;2377;0;83;139,50; [+0 Heremon Boots 2*, Tutelary Sentinel]; [+0 Noblesse Pants 2*, Tutelary Sentinel]; [+0 Noblesse Gloves 2*, Tutelary Sentinel]; [+0 Noblesse Armor 2*, Tutelary Sentinel]; [+0 Heremon Helmet 2*, Tutelary Sentinel];
